J1(id=21.0): 总407, 双方均为主队集=316, 剔除91, 主队集20队
中超(id=31.0): 总298, 双方均为主队集=187, 剔除111, 主队集14队
丹超(id=30.0): 总217, 双方均为主队集=217, 剔除0, 主队集13队
土超(id=16.0): 总332, 双方均为主队集=332, 剔除0, 主队集19队
墨超(id=22.0): 总357, 双方均为主队集=357, 剔除0, 主队集18队
巴甲(id=19.0): 总577, 双方均为主队集=541, 剔除36, 主队集23队
德乙(id=12.0): 总360, 双方均为主队集=358, 剔除2, 主队集20队
挪超(id=23.0): 总257, 双方均为主队集=204, 剔除53, 主队集16队
智利甲(id=53.0): 总391, 双方均为主队集=199, 剔除192, 主队集17队
比甲(id=15.0): 总351, 双方均为主队集=343, 剔除8, 主队集17队
瑞超(id=29.0): 总237, 双方均为主队集=140, 剔除97, 主队集13队
美职(id=20.0): 总570, 双方均为主队集=570, 剔除0, 主队集31队
英乙(id=4.0): 总557, 双方均为主队集=557, 剔除0, 主队集24队
英冠(id=2.0): 总557, 双方均为主队集=557, 剔除0, 主队集24队
荷甲(id=13.0): 总309, 双方均为主队集=309, 剔除0, 主队集18队
葡超(id=14.0): 总308, 双方均为主队集=306, 剔除2, 主队集18队
西乙(id=6.0): 总556, 双方均为主队集=556, 剔除0, 主队集25队
西甲(id=5.0): 总409, 双方均为主队集=409, 剔除0, 主队集21队
阿甲(id=28.0): 总627, 双方均为主队集=572, 剔除55, 主队集32队
