1. FC Heidenheim               -> ['Heidenheim']
AEK Athens                     -> [无]
AVS - Futebol SAD              -> [无]
Almería                        -> ['Almeria']
Arda Kardzhali                 -> [无]
Atlético Goianiense            -> [无]
Atlético Tucumán               -> [无]
BK Häcken                      -> ['Hacken']
Benfica                        -> ['Benfica']
Boca Juniors                   -> ['Boca Juniors']
Bolívar                        -> [无]
Brøndby IF                     -> ['Brondby', 'Burnley', 'Lyngby']
CA Independiente               -> ['Independiente']
CA Lanús                       -> ['Lanus']
CA Talleres                    -> [无]
CD Eldense                     -> ['Eldense']
CD Marchamalo                  -> [无]
CE Sabadell                    -> ['Sabadell']
CF Pachuca                     -> ['Pachuca']
Cardiff City                   -> [无]
Casa Pia                       -> ['Casa Pia']
Ceará                          -> ['Ceara']
Cesena                         -> ['Cesena']
Club León                      -> ['Club Leon']
Club Necaxa                    -> [无]
Club Puebla                    -> [无]
Cremonese                      -> ['Cremonese']
Defensa y Justicia             -> ['Defensa y Justicia']
Deportes Quindío               -> [无]
Deportes Tolima                -> [无]
Deportivo de A Coruña          -> [无]
Elche                          -> ['Elche']
Empoli                         -> ['Empoli']
Estudiantes de La Plata        -> [无]
Estudiantes de Río Cuarto      -> ['Estudiantes de Rio Cuarto']
FC Bayern München              -> ['Bayern Munich']
FC Botoșani                    -> [无]
FC Universitatea Cluj          -> [无]
FCSB                           -> ['AVS', 'FC OSS', 'Pisa']
FK Septemvri Sofia             -> [无]
FK Spartak Varna               -> [无]
Felgueiras                     -> [无]
Fenerbahçe                     -> ['Fenerbahce']
Fluminense                     -> ['Fluminense']
GNK Dinamo Zagreb              -> [无]
Gimnasia y Esgrima Mendoza     -> [无]
Goiás                          -> ['GAIS', 'FC OSS', 'Reims']
Guadalajara                    -> [无]
Göztepe                        -> ['Göztepe']
Halmstads BK                   -> ['Halmstad', 'Darmstadt']
Huachipato                     -> ['Huachipato']
IF Gnistan                     -> [无]
Ilves                          -> ['Alaves', 'Wolves', 'AVS']
Independiente Rivadavia        -> ['Independiente Rivadavia']
Independiente del Valle        -> [无]
Internacional                  -> ['Internacional']
Juventude                      -> ['Juventude']
Juventus                       -> ['Juventus']
Juventus Next Gen U23          -> [无]
Lecce                          -> ['Lecce']
Levski Sofia                   -> [无]
Llaneros FC                    -> [无]
Lokomotiv Sofia                -> [无]
Londrina                       -> [无]
Náutico                        -> [无]
Olympique Lyonnais             -> [无]
Palermo                        -> ['Palermo']
Palestino                      -> ['Palestino']
Pisa                           -> ['Pisa']
Recoleta FC                    -> [无]
Remo                           -> ['remo']
SC Spelle-Venhaus              -> [无]
Sampdoria                      -> ['Sampdoria']
Samsunspor                     -> ['Samsunspor']
Sassuolo                       -> ['Sassuolo']
Sporting Gijón                 -> [无]
São Paulo                      -> ['Sao Paulo']
Sønderjyske Fodbold            -> [无]
UTA Arad                       -> [无]
Universidad Católica           -> [无]
VfL Osnabrück                  -> ['Osnabruck']
Viking FK                      -> ['Viking']
Vélez Sarsfield                -> ['Velez Sarsfield']
Wrexham                        -> ['Wrexham']
