snapshot_ts,event_id,league,commence_time,home_team,away_team,bookmaker,market,outcome,side,side_key,point,price,last_update
2026-08-23T09:32:49Z,cc4647c2dbbc99b46369353fec19e12f,丹超,2026-08-23T12:00:00Z,FC Midtjylland,Randers FC,betsson,h2h,FC Midtjylland,home,home,,1.44,2026-08-23T09:32:12Z
2026-08-23T09:32:49Z,cc4647c2dbbc99b46369353fec19e12f,丹超,2026-08-23T12:00:00Z,FC Midtjylland,Randers FC,betsson,h2h,Randers FC,away,away,,7.2,2026-08-23T09:32:12Z
2026-08-23T09:32:49Z,cc4647c2dbbc99b46369353fec19e12f,丹超,2026-08-23T12:00:00Z,FC Midtjylland,Randers FC,betsson,h2h,Draw,draw,draw,,4.25,2026-08-23T09:32:12Z
2026-08-23T09:32:49Z,cc4647c2dbbc99b46369353fec19e12f,丹超,2026-08-23T12:00:00Z,FC Midtjylland,Randers FC,betsson,totals,Over,over,over@2.5,2.5,1.55,2026-08-23T09:32:12Z
2026-08-23T09:32:49Z,cc4647c2dbbc99b46369353fec19e12f,丹超,2026-08-23T12:00:00Z,FC Midtjylland,Randers FC,betsson,totals,Under,under,under@2.5,2.5,2.48,2026-08-23T09:32:12Z
2026-08-23T09:32:49Z,cc4647c2dbbc99b46369353fec19e12f,丹超,2026-08-23T12:00:00Z,FC Midtjylland,Randers FC,winamax_de,h2h,FC Midtjylland,home,home,,1.4,2026-08-23T09:31:49Z
2026-08-23T09:32:49Z,cc4647c2dbbc99b46369353fec19e12f,丹超,2026-08-23T12:00:00Z,FC Midtjylland,Randers FC,winamax_de,h2h,Randers FC,away,away,,5.8,2026-08-23T09:31:49Z
2026-08-23T09:32:49Z,cc4647c2dbbc99b46369353fec19e12f,丹超,2026-08-23T12:00:00Z,FC Midtjylland,Randers FC,winamax_de,h2h,Draw,draw,draw,,4.8,2026-08-23T09:31:49Z
2026-08-23T09:32:49Z,cc4647c2dbbc99b46369353fec19e12f,丹超,2026-08-23T12:00:00Z,FC Midtjylland,Randers FC,codere_it,h2h,FC Midtjylland,home,home,,1.44,2026-08-23T09:32:10Z
2026-08-23T09:32:49Z,cc4647c2dbbc99b46369353fec19e12f,丹超,2026-08-23T12:00:00Z,FC Midtjylland,Randers FC,codere_it,h2h,Randers FC,away,away,,6.4,2026-08-23T09:32:10Z
2026-08-23T09:32:49Z,cc4647c2dbbc99b46369353fec19e12f,丹超,2026-08-23T12:00:00Z,FC Midtjylland,Randers FC,codere_it,h2h,Draw,draw,draw,,4.8,2026-08-23T09:32:10Z
2026-08-23T09:32:49Z,cc4647c2dbbc99b46369353fec19e12f,丹超,2026-08-23T12:00:00Z,FC Midtjylland,Randers FC,codere_it,totals,Over,over,over@3.5,3.5,2.25,2026-08-23T09:32:10Z
2026-08-23T09:32:49Z,cc4647c2dbbc99b46369353fec19e12f,丹超,2026-08-23T12:00:00Z,FC Midtjylland,Randers FC,codere_it,totals,Under,under,under@3.5,3.5,1.55,2026-08-23T09:32:10Z
2026-08-23T09:32:49Z,cc4647c2dbbc99b46369353fec19e12f,丹超,2026-08-23T12:00:00Z,FC Midtjylland,Randers FC,winamax_fr,h2h,FC Midtjylland,home,home,,1.39,2026-08-23T09:32:31Z
2026-08-23T09:32:49Z,cc4647c2dbbc99b46369353fec19e12f,丹超,2026-08-23T12:00:00Z,FC Midtjylland,Randers FC,winamax_fr,h2h,Randers FC,away,away,,5.6,2026-08-23T09:32:31Z
2026-08-23T09:32:49Z,cc4647c2dbbc99b46369353fec19e12f,丹超,2026-08-23T12:00:00Z,FC Midtjylland,Randers FC,winamax_fr,h2h,Draw,draw,draw,,4.6,2026-08-23T09:32:31Z
2026-08-23T09:32:49Z,cc4647c2dbbc99b46369353fec19e12f,丹超,2026-08-23T12:00:00Z,FC Midtjylland,Randers FC,nordicbet,h2h,FC Midtjylland,home,home,,1.44,2026-08-23T09:32:11Z
2026-08-23T09:32:49Z,cc4647c2dbbc99b46369353fec19e12f,丹超,2026-08-23T12:00:00Z,FC Midtjylland,Randers FC,nordicbet,h2h,Randers FC,away,away,,7.2,2026-08-23T09:32:11Z
