date,league,match,home,away,bet_name,prob,odds,ev,star,ev_tier,stake_factor,result,ret,pnl,status,src,veto,risk_tags,divergence_pp,placed_odds,bookmaker,verified,kickoff,data_src,snap_age_h,upset_level,data_note,scan_ts,coach_atk_mod,coach_def_mod,coach_sample_size
08/22/2026,瑞超,IK Sirius vs BK Häcken,IK Sirius,BK Häcken,让球主(-0.5),0.65,1.91,0.19168248868117432,,,,lose,0.0,-1.0,已结算,scan24h对账,1,纯数据无伤病情报;伤停>2人(主3/客5);λ过高(4.19);模型与市场分歧>20pp(模型79% vs 市场48%)->否决,,,,,2026-08-22T01:00:00+08:00,,-0.6,,,2026-08-23T17:18:33.440757+08:00,,,
08/22/2026,瑞超,IK Sirius vs BK Häcken,IK Sirius,BK Häcken,让球客(+0.5),0.3153,1.93,-0.4157,,,,win,1.93,0.9299999999999999,已结算,scan24h对账,1,纯数据无伤病情报;伤停>2人(主3/客5);λ过高(4.19);模型与市场分歧>20pp(模型79% vs 市场48%)->否决,,,,,2026-08-22T01:00:00+08:00,,-0.6,,,2026-08-23T17:18:33.440757+08:00,,,
08/22/2026,瑞超,IK Sirius vs BK Häcken,IK Sirius,BK Häcken,小2.50,0.212,1.84,-0.627,,,,lose,0.0,-1.0,已结算,scan24h对账,1,纯数据无伤病情报;伤停>2人(主3/客5);λ过高(4.19);模型与市场分歧>20pp(模型79% vs 市场48%)->否决,,,,,2026-08-22T01:00:00+08:00,,-0.6,,,2026-08-23T17:18:33.440757+08:00,,,
08/22/2026,瑞超,IK Sirius vs BK Häcken,IK Sirius,BK Häcken,大2.50,0.65,1.99,0.2365672588832486,,,,win,1.99,0.99,已结算,scan24h对账,1,纯数据无伤病情报;伤停>2人(主3/客5);λ过高(4.19);模型与市场分歧>20pp(模型79% vs 市场48%)->否决,,,,,2026-08-22T01:00:00+08:00,,-0.6,,,2026-08-23T17:18:33.440757+08:00,,,
08/22/2026,瑞超,IK Sirius vs BK Häcken,IK Sirius,BK Häcken,1X2主胜,0.6181,1.97,0.2137,,,,lose,0.0,-1.0,已结算,scan24h对账,1,纯数据无伤病情报;伤停>2人(主3/客5);λ过高(4.19);模型与市场分歧>20pp(模型79% vs 市场48%)->否决,,,,,2026-08-22T01:00:00+08:00,,-0.6,,,2026-08-23T17:18:33.440757+08:00,,,
08/22/2026,瑞超,IK Sirius vs BK Häcken,IK Sirius,BK Häcken,1X2平局,0.196,4.3,-0.1598,,,,lose,0.0,-1.0,已结算,scan24h对账,1,纯数据无伤病情报;伤停>2人(主3/客5);λ过高(4.19);模型与市场分歧>20pp(模型79% vs 市场48%)->否决,,,,,2026-08-22T01:00:00+08:00,,-0.6,,,2026-08-23T17:18:33.440757+08:00,,,
08/22/2026,瑞超,IK Sirius vs BK Häcken,IK Sirius,BK Häcken,1X2客胜,0.1858,3.8,-0.2962,,,,win,3.8,2.8,已结算,scan24h对账,1,纯数据无伤病情报;伤停>2人(主3/客5);λ过高(4.19);模型与市场分歧>20pp(模型79% vs 市场48%)->否决,,,,,2026-08-22T01:00:00+08:00,,-0.6,,,2026-08-23T17:18:33.440757+08:00,,,
08/22/2026,阿甲,Aldosivi vs Club Atlético Unión de Santa Fe,Aldosivi,Club Atlético Unión de Santa Fe,让球主(+0.2),0.65,1.94,0.21995563714242028,,,,lose,0.0,-1.0,已结算,scan24h对账,0,纯数据无伤病情报;伤停>2人(主0/客3);平局预警-强(市场去水平局>=30%),,,,,2026-08-22T01:30:00+08:00,,24.1,,,2026-08-23T17:18:33.440757+08:00,,,
08/22/2026,阿甲,Aldosivi vs Club Atlético Unión de Santa Fe,Aldosivi,Club Atlético Unión de Santa Fe,让球客(-0.2),0.3463,1.93,-0.3533,,,,win,1.93,0.9299999999999999,已结算,scan24h对账,0,纯数据无伤病情报;伤停>2人(主0/客3);平局预警-强(市场去水平局>=30%),,,,,2026-08-22T01:30:00+08:00,,24.1,,,2026-08-23T17:18:33.440757+08:00,,,
08/22/2026,阿甲,Aldosivi vs Club Atlético Unión de Santa Fe,Aldosivi,Club Atlético Unión de Santa Fe,小2.50,0.65,1.45,-0.12507211839959864,,,,lose,0.0,-1.0,已结算,scan24h对账,0,纯数据无伤病情报;伤停>2人(主0/客3);平局预警-强(市场去水平局>=30%),,,,,2026-08-22T01:30:00+08:00,,24.1,,,2026-08-23T17:18:33.440757+08:00,,,
08/22/2026,阿甲,Aldosivi vs Club Atlético Unión de Santa Fe,Aldosivi,Club Atlético Unión de Santa Fe,大2.50,0.2027,2.58,-0.5145,,,,win,2.58,1.58,已结算,scan24h对账,0,纯数据无伤病情报;伤停>2人(主0/客3);平局预警-强(市场去水平局>=30%),,,,,2026-08-22T01:30:00+08:00,,24.1,,,2026-08-23T17:18:33.440757+08:00,,,
08/22/2026,阿甲,Aldosivi vs Club Atlético Unión de Santa Fe,Aldosivi,Club Atlético Unión de Santa Fe,1X2主胜,0.2932,3.42,-0.0683,,,,lose,0.0,-1.0,已结算,scan24h对账,0,纯数据无伤病情报;伤停>2人(主0/客3);平局预警-强(市场去水平局>=30%),,,,,2026-08-22T01:30:00+08:00,,24.1,,,2026-08-23T17:18:33.440757+08:00,,,
08/22/2026,阿甲,Aldosivi vs Club Atlético Unión de Santa Fe,Aldosivi,Club Atlético Unión de Santa Fe,1X2平局,0.3628,2.93,-0.0122,,,,lose,0.0,-1.0,已结算,scan24h对账,0,纯数据无伤病情报;伤停>2人(主0/客3);平局预警-强(市场去水平局>=30%),,,,,2026-08-22T01:30:00+08:00,,24.1,,,2026-08-23T17:18:33.440757+08:00,,,
08/22/2026,阿甲,Aldosivi vs Club Atlético Unión de Santa Fe,Aldosivi,Club Atlético Unión de Santa Fe,1X2客胜,0.344,2.26,-0.2775,,,,win,2.26,1.2599999999999998,已结算,scan24h对账,0,纯数据无伤病情报;伤停>2人(主0/客3);平局预警-强(市场去水平局>=30%),,,,,2026-08-22T01:30:00+08:00,,24.1,,,2026-08-23T17:18:33.440757+08:00,,,
08/22/2026,丹超,FC Petrolul Ploiești vs FC Rapid București,FC Petrolul Ploiești,FC Rapid București,让球主(+0.2),0.6293,2.0,0.2096,,,,lose,0.0,-1.0,已结算,scan24h对账,1,纯数据无伤病情报;平局预警(市场去水平局>=26%);盘口过期(距开赛24h>阈值12h)->否决,,,,,2026-08-22T01:30:00+08:00,,24.1,,,2026-08-23T17:18:33.440757+08:00,,,
08/22/2026,丹超,FC Petrolul Ploiești vs FC Rapid București,FC Petrolul Ploiești,FC Rapid București,让球客(-0.2),0.3707,1.85,-0.3409,,,,win,1.85,0.8500000000000001,已结算,scan24h对账,1,纯数据无伤病情报;平局预警(市场去水平局>=26%);盘口过期(距开赛24h>阈值12h)->否决,,,,,2026-08-22T01:30:00+08:00,,24.1,,,2026-08-23T17:18:33.440757+08:00,,,
