# 今晚 2026-08-20 23:00~08-21 03:00 方向报告 v2（数据补拉后）
生成: 2026-08-20 22:40 BJT | 盘口: BSD共识+the-odds(西甲) | 伤停: lineups+squad 双源补拉 | 测试阶段仅方向

| 开球 | 联赛 | 对阵 | λ | 大小球方向 | 模型大% | 赔率 | 市场大% | 主/客伤停 | 伤停名单(主/客) | 攻防 | 主要风险 |
|---|---|---|---|---|---|---|---|---|---|---|---|
| 08-20 23:00 | 欧联 | Kairat Almaty vs RSC Anderlecht | 1.1/1.08 | 小2.50 | 63% | 1.82 | 51% | 0/2 | 无 / I. Camara; L. Hey | local_bsd | 纯数据无伤病情报,缺亚盘,非独立数据,队名/数据缺失,队名模糊匹配,平局预警(市场去水平局>=26% |
| 08-21 00:00 | 欧协联 | Lincoln Red Imps vs Larne FC | 1.62/1.1 | 大2.50 | 51% | 1.96 | 48% | 0/0 | 无 / 无 | local_bsd | 纯数据无伤病情报,缺亚盘,非独立数据,队名/数据缺失,队名模糊匹配,平局预警(市场去水平局>=26% |
| 08-21 00:00 | 欧协联 | Inter Turku vs FC København | 1.82/1.37 | 大2.50 | 62% | 1.6 | 58% | 0/3 | 无 / D. Kotarski; D. Sarapata; M. | local_bsd | 纯数据无伤病情报,缺亚盘,队名模糊匹配 |
| 08-21 00:00 | 欧联 | Jagiellonia Białystok vs FC Iberia 1999 | 2.17/0.77 | 大2.50 | 56% | 1.68 | 56% | 0/0 | 无 / 无 | local_bsd | 纯数据无伤病情报,缺亚盘,非独立数据,队名/数据缺失 |
| 08-21 00:00 | 欧联 | Mjällby AIF vs Red Bull Salzburg | 1.17/1.9 | 大2.50 | 59% | 1.57 | 59% | 1/4 | T. Stavitski / A. Chase; E. Aguilar; F. Krä | local_bsd | 纯数据无伤病情报,缺亚盘,非独立数据,队名/数据缺失 |
| 08-21 01:00 | 欧协联 | FC Nordsjælland vs FC St. Gallen 1879 | 1.33/1.31 | 小2.50 | 51% | 2.65 | 35% | 0/4 | 无 / B. Neziri; C. N. Kleine-Beke | bsd_pulled | 纯数据无伤病情报,缺亚盘,非独立数据,队名/数据缺失 |
| 08-21 01:00 | 欧协联 | FC Midtjylland vs HNK Rijeka | 1.38/0.97 | 小2.50 | 58% | 2.04 | 46% | 4/0 | J. Brumado; M. Gogorza; O. D / 无 | local_bsd | 纯数据无伤病情报,缺亚盘,非独立数据,队名/数据缺失 |
| 08-21 01:00 | 欧协联 | Tromsø IL vs Brighton & Hove Albion | 0.92/0.96 | 小2.50 | 65% | 2.06 | 45% | 2/3 | L. Cornic; V. Ekblom / E. Ferguson; Y. Minteh; Z. Y | local_bsd | 纯数据无伤病情报,缺亚盘,非独立数据,队名/数据缺失 |
| 08-21 01:00 | 欧联 | Universitatea Craiova vs FC Ararat-Armenia | 2.03/0.84 | 大2.50 | 55% | 1.7 | 55% | 0/0 | 无 / 无 | bsd_pulled | 纯数据无伤病情报,缺亚盘,非独立数据,队名/数据缺失 |
