ct,league,home,away,direction_name,direction_prob,direction_odds,direction_ev,direction_vetoed,veto_reason,best_bet_name,best_bet_odds,best_bet_ev,star,ev_tier,dir_consistency,lambda_sum,snap_age_h,draw_warn,upset,risk_tags,notes
08-22 21:00,瑞超,Örgryte IS,Halmstads BK,让球主(-0.5),0.5999,1.97,0.1787,False,,让球主(-0.5),1.97,0.1787,1,标准,"{'groups': {'1X2': {'dir': '1X2主胜', 'ev': 6.5}, '让球': {'dir': '让球主(-0.5)', 'ev': 17.9}, '大小球': {'dir': '大2.50', 'ev': 1.0}}, 'level': '三向一致'}",3.09,0.4,,"{'hot': 'Örgryte IS', 'level': '低风险', 'count': 0, 'signals': []}",纯数据无伤病情报;伤停>2人(主5/客0),"数据包伤停: 主队伤停5人(如Adam Andersson,Aydarus Abukar,Jonath);客队样本偏少, 攻防向联赛均值收缩"
08-22 22:00,英乙,Swindon Town,Cheltenham Town,让球主(-0.5),0.65,1.98,0.2611,True,模型与市场分歧>20pp(模型72% vs 市场49%),,,,,否决,"{'groups': {'1X2': {'dir': '1X2主胜', 'ev': 28.7}, '让球': {'dir': '让球主(-0.5)', 'ev': 26.1}, '大小球': {'dir': '大2.50', 'ev': 26.5}}, 'level': '三向一致'}",4.14,1.4,"{'market_draw_prob': 27.5, 'strong': False}","{'hot': 'Swindon Town', 'level': '低风险', 'count': 0, 'signals': []}",纯数据无伤病情报;λ过高(4.14);平局预警(市场去水平局>=26%);模型与市场分歧>20pp(模型72% vs 市场49%)->否决,"概率封顶校准: 3腿概率>65%压至65%(实测高置信档高估, EV同抽水重算)"
08-22 22:00,英乙,Shrewsbury Town,Barnet,让球主(+0.5),0.525,1.87,-0.0333,False,,,,,,垃圾,"{'groups': {'1X2': {'dir': '1X2主胜', 'ev': 9.0}, '让球': {'dir': '让球客(-0.5)', 'ev': -2.7}, '大小球': {'dir': '大2.50', 'ev': 0.3}}, 'level': '主向分歧'}",2.69,1.4,"{'market_draw_prob': 27.9, 'strong': False}","{'hot': 'Barnet', 'level': '低风险', 'count': 0, 'signals': []}",纯数据无伤病情报;平局预警(市场去水平局>=26%),
08-22 22:00,英乙,Rotherham United,York City,小2.50,0.5428,2.0,0.0801,False,,小2.50,2.0,0.0801,1,标准,"{'groups': {'1X2': {'dir': '1X2平局', 'ev': 4.1}, '让球': {'dir': '让球主(+0.0)', 'ev': -0.1}, '大小球': {'dir': '小2.50', 'ev': 8.0}}, 'level': '平局主导'}",2.5,1.4,"{'market_draw_prob': 27.0, 'strong': False}","{'hot': 'Rotherham United', 'level': '轻度风险', 'count': 2, 'signals': ['L5主客接近无明显热门(慎标冷门)', 'F4基本面攻防接近(冷门温床)']}",纯数据无伤病情报;平局预警(市场去水平局>=26%),"主队样本偏少, 攻防向联赛均值收缩;客队样本偏少, 攻防向联赛均值收缩"
08-22 22:00,英乙,Rochdale,Crawley Town,让球主(-0.5),0.5622,1.9,0.0356,False,,,,,,垃圾,"{'groups': {'1X2': {'dir': '1X2平局', 'ev': 13.9}, '让球': {'dir': '让球主(-0.5)', 'ev': 3.6}, '大小球': {'dir': '小2.50', 'ev': 44.4}}, 'level': '平局主导'}",2.07,1.4,,"{'hot': 'Rochdale', 'level': '低风险', 'count': 0, 'signals': []}",纯数据无伤病情报,"主队样本偏少, 攻防向联赛均值收缩;概率封顶校准: 1腿概率>65%压至65%(实测高置信档高估, EV同抽水重算);概率禁带: 1腿让球主/小球概率∈[65%,70%)实测高估, 不纳入候选"
08-22 22:00,英乙,Port Vale,Tranmere Rovers,让球主(-0.5),0.6472,2.0,0.2612,False,,让球主(-0.5),2.0,0.2612,1,高价值,"{'groups': {'1X2': {'dir': '1X2主胜', 'ev': 18.1}, '让球': {'dir': '让球主(-0.5)', 'ev': 26.1}, '大小球': {'dir': '大2.50', 'ev': 24.3}}, 'level': '三向一致'}",2.94,1.4,"{'market_draw_prob': 28.6, 'strong': False}","{'hot': 'Port Vale', 'level': '低风险', 'count': 0, 'signals': []}",纯数据无伤病情报;平局预警(市场去水平局>=26%),"主队样本偏少, 攻防向联赛均值收缩"
08-22 22:00,英乙,Fleetwood Town,Gillingham,让球主(-0.5),0.5755,1.94,0.0913,False,,让球主(-0.5),1.94,0.0913,1,标准,"{'groups': {'1X2': {'dir': '1X2主胜', 'ev': 2.7}, '让球': {'dir': '让球主(-0.5)', 'ev': 9.1}, '大小球': {'dir': '小2.50', 'ev': 0.5}}, 'level': '主向稳胜'}",2.6,1.4,"{'market_draw_prob': 26.3, 'strong': False}","{'hot': 'Fleetwood Town', 'level': '低风险', 'count': 0, 'signals': []}",纯数据无伤病情报;平局预警(市场去水平局>=26%),
08-22 22:00,英乙,Exeter City,Accrington Stanley,小2.50,0.6387,1.91,0.2091,False,,小2.50,1.91,0.2091,2,高价值,"{'groups': {'1X2': {'dir': '1X2平局', 'ev': 7.8}, '让球': {'dir': '让球主(-0.5)', 'ev': -2.1}, '大小球': {'dir': '小2.50', 'ev': 20.9}}, 'level': '平局主导'}",2.14,1.4,"{'market_draw_prob': 27.5, 'strong': False}","{'hot': 'Exeter City', 'level': '低风险', 'count': 0, 'signals': []}",纯数据无伤病情报;平局预警(市场去水平局>=26%),"主队样本偏少, 攻防向联赛均值收缩"
08-22 22:00,英乙,Crewe Alexandra,Northampton Town,小2.50,0.5727,1.92,0.0875,False,,小2.50,1.92,0.0875,1,标准,"{'groups': {'1X2': {'dir': '1X2平局', 'ev': 5.1}, '让球': {'dir': '让球客(+0.2)', 'ev': -1.2}, '大小球': {'dir': '小2.50', 'ev': 8.8}}, 'level': '平局主导'}",2.39,1.4,"{'market_draw_prob': 27.2, 'strong': False}","{'hot': 'Crewe Alexandra', 'level': '低风险', 'count': 0, 'signals': []}",纯数据无伤病情报;平局预警(市场去水平局>=26%),"客队样本偏少, 攻防向联赛均值收缩"
08-22 22:00,英乙,Colchester United,Oldham Athletic,大2.50,0.556,1.99,0.0926,False,,大2.50,1.99,0.0926,1,标准,"{'groups': {'1X2': {'dir': '1X2主胜', 'ev': 36.2}, '让球': {'dir': '让球主(+0.0)', 'ev': 23.8}, '大小球': {'dir': '大2.50', 'ev': 9.3}}, 'level': '三向一致'}",2.91,1.4,"{'market_draw_prob': 28.1, 'strong': False}","{'hot': 'Oldham Athletic', 'level': '低风险', 'count': 1, 'signals': ['L5主客接近无明显热门(慎标冷门)']}",纯数据无伤病情报;平局预警(市场去水平局>=26%),"概率封顶校准: 1腿概率>65%压至65%(实测高置信档高估, EV同抽水重算);概率禁带: 1腿让球主/小球概率∈[65%,70%)实测高估, 不纳入候选"
