08-22 01:00 | 瑞超   | IK Sirius vs BK Häcken
08-22 01:30 | 阿甲   | Aldosivi vs Club Atlético Unión de Santa Fe
08-22 01:30 | 丹超   | FC Petrolul Ploiești vs FC Rapid București
08-22 02:00 | 法乙   | USL Dunkerque vs Montpellier
08-22 02:00 | 法乙   | US Boulogne Côte-d'Opale vs Red Star FC
08-22 02:00 | 法乙   | Sochaux vs Guingamp
08-22 02:00 | 法乙   | Pau FC vs Nancy
08-22 02:00 | 法乙   | Clermont Foot vs Dijon
08-22 02:30 | 土超   | Erzurumspor FK vs Galatasaray
08-22 02:45 | 比甲   | Standard Liège vs RAAL La Louvière
08-22 02:45 | 法甲   | Olympique de Marseille vs RC Strasbourg
08-22 03:00 | 西乙   | Córdoba vs Girona FC
08-22 03:00 | 西甲   | Real Betis vs Real Sociedad
08-22 03:00 | 英超   | Arsenal vs Coventry City
08-22 07:00 | 阿甲   | Estudiantes de Río Cuarto vs San Lorenzo
08-22 09:00 | 墨超   | Tigres UANL vs Atlante FC
08-22 09:00 | 墨超   | Club León vs CF Monterrey
08-22 11:10 | 墨超   | Querétaro FC vs CD Toluca
08-22 11:10 | 墨超   | FC Juárez vs Club América
08-22 17:00 | J1   | Kashima Antlers vs Avispa Fukuoka
08-22 17:30 | J1   | Fagiano Okayama vs Tokyo Verdy
08-22 18:00 | J1   | Nagoya Grampus vs Gamba Osaka
08-22 18:00 | J1   | Kyoto Sanga FC vs Mito Hollyhock
08-22 18:00 | J1   | Cerezo Osaka vs Shimizu S-Pulse
08-22 18:15 | J1   | Sanfrecce Hiroshima vs Kawasaki Frontale
08-22 18:30 | J1   | Yokohama F. Marinos vs Vissel Kobe
08-22 19:00 | 中超   | Wuhan Three Towns vs Tianjin Jinmen Tiger
08-22 19:30 | 英乙   | Walsall vs Grimsby Town
08-22 19:30 | 英乙   | Salford City vs Chesterfield
08-22 19:30 | 英乙   | Bristol Rovers vs Newport County
08-22 19:30 | 英冠   | Millwall vs Norwich City
08-22 19:30 | 英冠   | Lincoln City vs Portsmouth
08-22 19:30 | 英冠   | Birmingham City vs Bristol City
08-22 19:30 | 英超   | Hull City vs Manchester United
08-22 19:35 | 中超   | Shenzhen Peng City vs Zhejiang
08-22 19:35 | 中超   | Chengdu Rongcheng vs Shanghai Shenhua
08-22 20:00 | 法乙   | Nantes vs Rodez AF
08-22 20:00 | 法乙   | Metz vs Stade Lavallois
08-22 20:00 | 中超   | Qingdao West Coast vs Shandong Taishan
08-22 20:00 | 中超   | Beijing Guoan vs Yunnan Yukun
08-22 21:00 | 瑞超   | Örgryte IS vs Halmstads BK
08-22 22:00 | 英乙   | Swindon Town vs Cheltenham Town
08-22 22:00 | 英乙   | Shrewsbury Town vs Barnet
08-22 22:00 | 英乙   | Rotherham United vs York City
08-22 22:00 | 英乙   | Rochdale vs Crawley Town
08-22 22:00 | 英乙   | Port Vale vs Tranmere Rovers
08-22 22:00 | 英乙   | Fleetwood Town vs Gillingham
08-22 22:00 | 英乙   | Exeter City vs Accrington Stanley
08-22 22:00 | 英乙   | Crewe Alexandra vs Northampton Town
08-22 22:00 | 英乙   | Colchester United vs Oldham Athletic
08-22 22:00 | 英冠   | Wrexham vs Watford
08-22 22:00 | 英冠   | West Ham United vs Charlton Athletic
08-22 22:00 | 英冠   | Swansea City vs Sheffield United
08-22 22:00 | 英冠   | Southampton vs Stoke City
08-22 22:00 | 英冠   | Queens Park Rangers vs Bolton Wanderers
08-22 22:00 | 英冠   | Preston North End vs Wolverhampton
08-22 22:00 | 英冠   | Derby County vs Cardiff City
08-22 22:00 | 英冠   | Blackburn Rovers vs Middlesbrough
08-22 22:00 | 比甲   | SV Zulte Waregem vs SK Beveren
08-22 22:00 | 英超   | Nottingham Forest vs Leeds United
08-22 22:00 | 英超   | Ipswich Town vs Sunderland
08-22 22:00 | 英超   | Everton vs Crystal Palace
08-22 22:30 | 葡超   | CS Marítimo vs Académico Viseu FC
08-22 22:30 | 瑞超   | FC Thun vs Servette FC
08-22 22:30 | 荷甲   | Fortuna Sittard vs AZ Alkmaar
08-22 23:00 | 西乙   | Real Oviedo vs Leganés
08-22 23:00 | 西甲   | Athletic Club vs Sevilla
08-22 23:15 | 法甲   | RC Lens vs Auxerre
08-22 23:30 | 丹超   | UTA Arad vs FC Corvinul Hunedoara
08-23 00:00 | 土超   | Çorum FK vs Kasımpaşa
08-23 00:00 | 土超   | Çaykur Rizespor vs Samsunspor
08-23 00:00 | 瑞超   | FC Luzern vs FC Lausanne-Sport
08-23 00:15 | 比甲   | RC Sporting Charleroi vs KV Mechelen
08-23 00:30 | 意甲   | Udinese vs Como
08-23 00:30 | 意甲   | Inter vs Monza
08-23 00:30 | 英超   | Brentford vs Tottenham Hotspur
08-23 00:45 | 荷甲   | Sparta Rotterdam vs FC Utrecht
08-23 01:00 | 葡超   | Estoril Praia vs Rio Ave
08-23 01:00 | 西乙   | Albacete Balompié vs Real Sociedad B
08-23 01:00 | 西乙   | AD Ceuta vs UD Las Palmas
08-23 01:30 | 西甲   | Valencia vs Celta Vigo
08-23 02:00 | 法乙   | Saint-Étienne vs Grenoble Foot 38
08-23 02:00 | 荷甲   | NEC Nijmegen vs Excelsior
08-23 02:30 | 土超   | Fenerbahçe vs Konyaspor
08-23 02:30 | 丹超   | FC Dinamo București vs FC Universitatea Cluj
08-23 02:30 | 瑞超   | FC Zürich vs Basel
08-23 02:30 | 比甲   | KAA Gent vs Oud-Heverlee Leuven
08-23 02:45 | 比甲   | Royal Antwerp FC vs KRC Genk
08-23 02:45 | 法甲   | Troyes vs Paris FC
08-23 02:45 | 法甲   | Toulouse vs Olympique Lyonnais
08-23 02:45 | 法甲   | Nice vs Lorient
08-23 02:45 | 法甲   | Le Mans vs Stade Brestois
08-23 02:45 | 意甲   | Parma vs Cagliari
08-23 02:45 | 意甲   | Genoa vs SSC Napoli
08-23 03:00 | 阿甲   | Gimnasia y Esgrima vs Gimnasia y Esgrima Mendoza
08-23 03:00 | 阿甲   | Atlético Tucumán vs Instituto De Córdoba
08-23 03:00 | 荷甲   | SC Heerenveen vs PEC Zwolle
08-23 03:00 | 巴甲   | Fluminense vs Remo
08-23 03:30 | 葡超   | Sporting CP vs FC Alverca
08-23 03:30 | 西乙   | CD Eldense vs Cádiz
08-23 03:30 | 西甲   | Espanyol vs Real Madrid
08-23 05:30 | 阿甲   | CA Independiente vs Independiente Rivadavia
08-23 05:30 | 巴甲   | Internacional vs Atlético Mineiro
08-23 07:07 | 墨超   | CD Guadalajara vs Club Tijuana
08-23 07:30 | 巴甲   | Cruzeiro vs Flamengo
08-23 07:30 | 美职   | Charlotte FC vs DC United
08-23 07:30 | 美职   | Orlando City SC vs Real Salt Lake
08-23 07:30 | 美职   | New York Red Bulls vs Chicago Fire
08-23 07:30 | 美职   | CF Montréal vs LA Galaxy
08-23 07:30 | 美职   | FC Cincinnati vs Seattle Sounders FC
08-23 07:30 | 美职   | Inter Miami CF vs Toronto FC
