1. FC Heidenheim | Club Friendlies(08-19 00:00)
AEK Athens | Champions League(08-19 03:00)
AVS - Futebol SAD | Liga Portugal 2(08-18 01:00)
Almería | Segunda División(08-18 03:30)
Arda Kardzhali | Parva Liga(08-18 02:15)
Atlético Goianiense | Brasileirão Serie B(08-19 06:30)
Atlético Tucumán | Liga Profesional de Fútbol(08-18 01:45)
BK Häcken | Allsvenskan(08-18 01:00)
Benfica | Liga Portugal Betclic(08-18 03:15)
Boca Juniors | Copa Sudamericana(08-19 06:00)
Bolívar | Copa Sudamericana(08-19 08:30)
Brøndby IF | Danish Superliga(08-18 01:00)
CA Independiente | Liga Profesional de Fútbol(08-18 04:00)
CA Lanús | Liga Profesional de Fútbol(08-18 04:00)
CA Talleres | Liga Profesional de Fútbol(08-18 08:30)
CD Eldense | Segunda División(08-18 03:30)
CD Marchamalo | Club Friendlies(08-19 02:00)
CE Sabadell | Segunda División(08-18 01:00)
CF Pachuca | Liga MX Apertura(08-18 11:00)
Cardiff City | Championship(08-18 03:00)
Casa Pia | Liga Portugal Betclic(08-18 03:15)
Ceará | Brasileirão Serie B(08-19 08:30)
Cesena | Coppa Italia(08-18 00:30)
Club León | Liga MX Apertura(08-18 09:00)
Club Necaxa | Liga MX Apertura(08-18 09:00)
Club Puebla | Liga MX Apertura(08-18 11:00)
Cremonese | Coppa Italia(08-18 02:45)
Defensa y Justicia | Liga Profesional de Fútbol(08-18 06:15)
Deportes Quindío | Copa Colombia(08-19 08:00)
Deportes Tolima | Copa Libertadores(08-19 08:30)
Deportivo de A Coruña | La Liga(08-18 03:00)
Elche | La Liga(08-18 03:00)
Empoli | Coppa Italia(08-18 00:00)
Estudiantes de La Plata | Copa Libertadores(08-19 08:30)
Estudiantes de Río Cuarto | Liga Profesional de Fútbol(08-18 01:45)
FC Bayern München | Club Friendlies(08-19 00:00)
FC Botoșani | Superliga(08-18 02:30)
FC Universitatea Cluj | Superliga(08-17 23:30)
FCSB | Superliga(08-18 02:30)
FK Septemvri Sofia | Parva Liga(08-18 00:00)
FK Spartak Varna | Parva Liga(08-18 00:00)
Felgueiras | Liga Portugal 2(08-18 01:00)
Fenerbahçe | Champions League(08-19 03:00)
Fluminense | Copa Libertadores(08-19 06:00)
GNK Dinamo Zagreb | Champions League(08-19 03:00)
Gimnasia y Esgrima Mendoza | Liga Profesional de Fútbol(08-18 08:30)
Goiás | Brasileirão Serie B(08-19 08:35)
Guadalajara | Club Friendlies(08-19 02:00)
Göztepe | Trendyol Super Lig(08-18 02:30)
Halmstads BK | Allsvenskan(08-18 01:00)
IF Gnistan | Veikkausliiga(08-17 23:00)
Ilves | Veikkausliiga(08-17 23:00)
Independiente Rivadavia | Copa Libertadores(08-19 06:00)
Independiente del Valle | Copa Libertadores(08-19 08:30)
Internacional | Brasileirão Serie A(08-18 07:00)
Juventude | Brasileirão Serie B(08-19 08:35)
Juventus | Club Friendlies(08-18 00:00)
Juventus Next Gen U23 | Club Friendlies(08-18 00:00)
Lecce | Coppa Italia(08-18 03:15)
Levski Sofia | Champions League(08-19 03:00)
Llaneros FC | Copa Colombia(08-19 08:00)
Lokomotiv Sofia | Parva Liga(08-18 02:15)
Londrina | Brasileirão Serie B(08-19 06:30)
Náutico | Brasileirão Serie B(08-19 08:30)
Olympique Lyonnais | Champions League(08-19 03:00)
Palermo | Coppa Italia(08-18 03:15)
Pisa | Coppa Italia(08-18 00:00)
Recoleta FC | Copa Sudamericana(08-19 06:00)
Remo | Brasileirão Serie A(08-18 07:00)
SC Spelle-Venhaus | Club Friendlies(08-19 01:00)
Sampdoria | Coppa Italia(08-18 02:45)
Samsunspor | Trendyol Super Lig(08-18 02:30)
Sassuolo | Coppa Italia(08-18 00:30)
Sporting Gijón | Segunda División(08-18 01:00)
São Paulo | Copa Sudamericana(08-19 08:30)
Sønderjyske Fodbold | Danish Superliga(08-18 01:00)
UTA Arad | Superliga(08-17 23:30)
Universidad Católica | Copa Libertadores(08-19 08:30)
VfL Osnabrück | Club Friendlies(08-19 01:00)
Viking FK | Champions League(08-19 03:00)
Vélez Sarsfield | Liga Profesional de Fútbol(08-18 06:15)
Wrexham | Championship(08-18 03:00)
