08-21 08:30 | 南美杯 | Botafogo vs Cienciano | λ1.86/0.68 | OU:小2.50 53% EV+84% | HC:让球客(+2.2) 65% EV+38% | 1X2:1X2客胜 16% EV+156% | 无★0[否决] | 纯数据无伤病情报;伤停>2人(主4/客0);盘口为隔日快照(2026-08-20)->否决
08-21 08:30 | 解放者杯 | Corinthians vs Rosario Central | λ0.90/0.71 | OU:小2.50 65% EV-16% | HC:让球客(+0.2) 62% EV+23% | 1X2:1X2客胜 28% EV+21% | 无★0[否决] | 纯数据无伤病情报;伤停>2人(主7/客3);平局预警-强(市场去水平局>=30%);盘口为隔日快照(2026-08-20)->否决
08-21 18:00 | J1 League | Kashiwa Reysol vs V-Varen Nagasaki | λ1.51/1.51 | OU:大2.50 58% EV-4% | HC:- | 1X2:1X2客胜 37% EV+72% | 无★0[垃圾] | 纯数据无伤病情报;缺亚盘
08-21 18:30 | J1 League | FC Tokyo vs JEF United Chiba | λ1.51/1.51 | OU:大2.50 58% EV+0% | HC:- | 1X2:1X2客胜 37% EV+108% | 无★0[垃圾] | 纯数据无伤病情报;缺亚盘
08-22 00:00 | 沙超 | Al-Riyadh vs Al-Nassr | λ1.16/2.36 | OU:小2.50 32% EV-4% | HC:让球客(-2.0) 32% EV-34% | 1X2:1X2主胜 17% EV+43% | 无★0[垃圾] | 纯数据无伤病情报
08-22 00:00 | DFB Pokal | SV Waldhof Mannheim vs 1. FC Kaiserslautern | λ1.68/0.91 | OU:小2.50 52% EV+23% | HC:让球主(+0.2) 65% EV+25% | 1X2:1X2主胜 51% EV+43% | 无★0[否决] | 纯数据无伤病情报;盘口过期(距开赛23h>阈值12h)->否决
08-22 00:00 | DFB Pokal | Preußen Münster vs Karlsruher SC | λ1.41/0.91 | OU:小2.50 59% EV+33% | HC:让球主(+0.2) 65% EV+26% | 1X2:1X2主胜 45% EV+32% | 无★0[否决] | 纯数据无伤病情报;盘口过期(距开赛23h>阈值12h)->否决
08-22 00:00 | Veikkausliiga | SJK vs FC Lahti | λ1.42/0.92 | OU:小2.50 58% EV+16% | HC:让球主(+0.0) 62% EV+18% | 1X2:1X2主胜 49% EV+10% | 无★0[否决] | 纯数据无伤病情报;平局预警(市场去水平局>=26%);盘口过期(距开赛23h>阈值12h)->否决
08-22 00:15 | 沙超 | Al-Hazem vs Al Diriyah | λ1.38/1.41 | OU:小2.50 47% EV-6% | HC:- | 1X2:1X2主胜 37% EV-5% | 无★0[垃圾] | 纯数据无伤病情报;缺亚盘;平局预警(市场去水平局>=26%)
08-22 01:00 | Allsvenskan | IK Sirius vs BK Häcken | λ2.85/1.34 | OU:大2.50 65% EV-15% | HC:让球客(+0.8) 32% EV-45% | 1X2:1X2主胜 62% EV+21% | 无★0[垃圾] | 纯数据无伤病情报;伤停>2人(主4/客4);λ过高(4.19)
08-22 01:30 | 阿甲 | Aldosivi vs Club Atlético Unión de Santa Fe | λ0.72/0.83 | OU:小2.50 65% EV-13% | HC:让球客(-0.2) 35% EV-35% | 1X2:1X2平局 36% EV-1% | 无★0[垃圾] | 纯数据无伤病情报;伤停>2人(主0/客3);平局预警-强(市场去水平局>=30%)
08-22 01:30 | Superliga | FC Petrolul Ploiești vs FC Rapid București | λ0.94/0.80 | OU:小2.50 65% EV-0% | HC:让球主(+0.5) 65% EV+10% | 1X2:1X2主胜 37% EV+15% | 无★0[否决] | 纯数据无伤病情报;平局预警(市场去水平局>=26%);盘口过期(距开赛24h>阈值12h)->否决
08-22 02:00 | Ligue 2 | USL Dunkerque vs Montpellier | λ0.39/0.78 | OU:小2.50 65% EV+12% | HC:让球客(+0.2) 65% EV+8% | 1X2:1X2平局 41% EV+32% | 无★0[否决] | 纯数据无伤病情报;联赛基准偏差(λ已平移);小球校准折扣;队名模糊匹配;平局预警(市场去水平局>=26%);盘口过期(距开赛25h>阈值12
