snapshot_ts,event_id,league,commence_time,home_team,away_team,bookmaker,market,outcome,side,side_key,point,price,last_update
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,smarkets,h2h,Atlético Madrid,home,home,,1.82,2026-08-23T14:04:51Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,smarkets,h2h,Villarreal,away,away,,4.7,2026-08-23T14:04:51Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,smarkets,h2h,Draw,draw,draw,,4.0,2026-08-23T14:04:51Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,leovegas,h2h,Atlético Madrid,home,home,,1.77,2026-08-23T14:04:31Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,leovegas,h2h,Villarreal,away,away,,4.33,2026-08-23T14:04:31Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,leovegas,h2h,Draw,draw,draw,,3.9,2026-08-23T14:04:31Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,leovegas,totals,Over,over,over@2.5,2.5,1.62,2026-08-23T14:04:31Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,leovegas,totals,Under,under,under@2.5,2.5,2.2,2026-08-23T14:04:31Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,unibet_uk,h2h,Atlético Madrid,home,home,,1.78,2026-08-23T14:04:10Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,unibet_uk,h2h,Villarreal,away,away,,4.35,2026-08-23T14:04:10Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,unibet_uk,h2h,Draw,draw,draw,,3.8,2026-08-23T14:04:10Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,betclic_fr,h2h,Atlético Madrid,home,home,,1.78,2026-08-23T14:03:34Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,betclic_fr,h2h,Villarreal,away,away,,4.35,2026-08-23T14:03:34Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,betclic_fr,h2h,Draw,draw,draw,,3.88,2026-08-23T14:03:34Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,betfred_uk,h2h,Atlético Madrid,home,home,,1.8,2026-08-23T14:04:52Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,betfred_uk,h2h,Villarreal,away,away,,4.2,2026-08-23T14:04:52Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,betfred_uk,h2h,Draw,draw,draw,,3.75,2026-08-23T14:04:52Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,onexbet,h2h,Atlético Madrid,home,home,,1.82,2026-08-23T14:04:28Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,onexbet,h2h,Villarreal,away,away,,4.62,2026-08-23T14:04:28Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,onexbet,h2h,Draw,draw,draw,,4.0,2026-08-23T14:04:28Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,onexbet,spreads,Atlético Madrid,home,home@-1.5,-1.5,3.15,2026-08-23T14:04:28Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,onexbet,spreads,Villarreal,away,away@1.5,1.5,1.43,2026-08-23T14:04:28Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,onexbet,totals,Over,over,over@2.5,2.5,1.73,2026-08-23T14:04:28Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,onexbet,totals,Under,under,under@2.5,2.5,2.28,2026-08-23T14:04:28Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,codere_it,h2h,Atlético Madrid,home,home,,1.78,2026-08-23T14:04:28Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,codere_it,h2h,Villarreal,away,away,,4.4,2026-08-23T14:04:28Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,codere_it,h2h,Draw,draw,draw,,3.85,2026-08-23T14:04:28Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,codere_it,totals,Over,over,over@2.5,2.5,1.6,2026-08-23T14:04:28Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,codere_it,totals,Under,under,under@2.5,2.5,2.15,2026-08-23T14:04:28Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,coolbet,h2h,Atlético Madrid,home,home,,1.81,2026-08-23T14:04:53Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,coolbet,h2h,Villarreal,away,away,,4.75,2026-08-23T14:04:53Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,coolbet,h2h,Draw,draw,draw,,3.75,2026-08-23T14:04:53Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,coolbet,spreads,Atlético Madrid,home,home@-1.0,-1.0,2.41,2026-08-23T14:04:53Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,coolbet,spreads,Villarreal,away,away@1.0,1.0,1.63,2026-08-23T14:04:53Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,coolbet,totals,Over,over,over@2.5,2.5,1.74,2026-08-23T14:04:53Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,coolbet,totals,Under,under,under@2.5,2.5,2.2,2026-08-23T14:04:53Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,paddypower,h2h,Atlético Madrid,home,home,,1.73,2026-08-23T14:04:51Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,paddypower,h2h,Villarreal,away,away,,4.4,2026-08-23T14:04:51Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,paddypower,h2h,Draw,draw,draw,,3.75,2026-08-23T14:04:51Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,skybet,h2h,Atlético Madrid,home,home,,1.73,2026-08-23T14:04:30Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,skybet,h2h,Villarreal,away,away,,4.4,2026-08-23T14:04:30Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,skybet,h2h,Draw,draw,draw,,3.8,2026-08-23T14:04:30Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,winamax_fr,h2h,Atlético Madrid,home,home,,1.72,2026-08-23T14:04:30Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,winamax_fr,h2h,Villarreal,away,away,,4.2,2026-08-23T14:04:30Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,winamax_fr,h2h,Draw,draw,draw,,3.85,2026-08-23T14:04:30Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,winamax_de,h2h,Atlético Madrid,home,home,,1.74,2026-08-23T14:04:53Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,winamax_de,h2h,Villarreal,away,away,,4.2,2026-08-23T14:04:53Z
2026-08-23T14:05:22Z,4290b7b558285b2ec3a5ed42feca310d,西甲,2026-08-23T15:00:00Z,Atlético Madrid,Villarreal,winamax_de,h2h,Draw,draw,draw,,3.9,2026-08-23T14:04:53Z
