n,stake,profit,roi,hit,group,key
1852,57.7,-7.66,-0.1328,0.295,league,ROU
1678,54.7,-5.0,-0.0915,0.343,league,POL
1308,41.8,-5.98,-0.143,0.291,league,SWE
1266,41.8,-3.88,-0.0927,0.341,league,NO1
1130,36.1,-7.77,-0.2151,0.247,league,CH
1128,37.2,-3.94,-0.106,0.32,league,DNK
981,31.6,0.0,0.0001,0.311,league,AUT
475,14.9,-0.31,-0.0205,0.36,league,西乙
455,13.8,-2.53,-0.1842,0.303,league,英冠
407,13.2,-2.02,-0.1531,0.319,league,BR
336,10.1,-1.64,-0.1619,0.315,league,西甲
319,8.9,-1.35,-0.1527,0.301,league,意甲
292,8.9,-2.0,-0.2262,0.267,league,英超
291,7.7,-0.43,-0.0568,0.326,league,英甲
236,7.5,0.61,0.0812,0.428,league,德乙
230,6.9,0.93,0.1341,0.378,league,法乙
227,6.8,0.42,0.0609,0.295,league,法甲
204,5.4,-0.92,-0.1709,0.314,league,意乙
201,5.9,-0.7,-0.1197,0.338,league,土超
195,6.3,-1.96,-0.312,0.272,league,德甲
191,5.5,-0.33,-0.0599,0.288,league,荷甲
167,4.7,-0.93,-0.1988,0.263,league,葡超
145,4.5,-0.35,-0.078,0.317,league,B1
36,0.9,0.17,0.1952,0.361,league,G1
232,8.0,-2.31,-0.2898,0.28,year,2012
732,23.7,-2.74,-0.1154,0.309,year,2013
714,22.9,-4.57,-0.1998,0.318,year,2014
767,24.9,-1.46,-0.0587,0.332,year,2015
726,23.3,-0.03,-0.0014,0.335,year,2016
747,25.2,-2.0,-0.0792,0.339,year,2017
648,21.6,-4.01,-0.1855,0.301,year,2018
768,24.4,-2.45,-0.1003,0.32,year,2019
683,24.0,-4.21,-0.1749,0.288,year,2020
831,27.0,-3.57,-0.1321,0.292,year,2021
1050,33.6,-3.85,-0.1145,0.302,year,2022
1630,49.2,-4.81,-0.0976,0.32,year,2023
1635,48.5,-7.02,-0.1446,0.3,year,2024
1631,47.9,-0.56,-0.0116,0.329,year,2025
956,28.1,-4.01,-0.1424,0.288,year,2026
8542,313.6,-29.35,-0.0936,0.369,pick,主胜
1475,28.7,-3.9,-0.1359,0.222,pick,平局
3733,90.2,-14.34,-0.1589,0.217,pick,客胜
2003,14.4,-1.3,-0.0906,0.323,edge,0.03-0.05
2892,49.8,-4.44,-0.089,0.318,edge,0.05-0.08
3028,93.1,-9.27,-0.0996,0.324,edge,0.08-0.12
5827,275.2,-32.58,-0.1184,0.299,edge,0.12-1.00
1211,42.0,-2.59,-0.0616,0.609,odds,热门<1.8
3840,134.5,-11.21,-0.0834,0.423,odds,中等1.8-2.6
3472,109.9,-11.78,-0.1072,0.294,odds,偏高2.6-3.5
5227,146.1,-22.01,-0.1506,0.174,odds,冷门>3.5
