ko,match,side,team,name,pos,tag,atk,def,hg,ag,hit_atk,hit_def
09-05 01:00,Başakşehir FK vs Galatasaray,away,Galatasaray,Günay Güvenç,门将,轮换(0%),0.007,0.014,2,3,0,1
09-05 01:00,Olympique Lyonnais vs Auxerre,home,Olympique Lyonnais,Julien Duranville,前锋,轮换(0%),0.014,0.0,3,1,0,
09-05 01:00,Olympique Lyonnais vs Auxerre,home,Olympique Lyonnais,Khalis Merah,中场,轮换(0%),0.007,0.007,3,1,0,1
09-05 01:00,Olympique Lyonnais vs Auxerre,home,Olympique Lyonnais,Pavel Šulc,前锋,主力(首发100%),0.04,0.0,3,1,0,
09-05 01:00,Olympique Lyonnais vs Auxerre,away,Auxerre,Assane Dioussé,中场,轮换(0%),0.007,0.007,3,1,1,1
09-05 01:00,Olympique Lyonnais vs Auxerre,away,Auxerre,Axel Tuanzebe,后卫,轮换(0%),0.0,0.014,3,1,,1
09-05 01:00,Olympique Lyonnais vs Auxerre,away,Auxerre,Fredrik Oppegård,后卫,轮换(0%),0.0,0.014,3,1,,1
09-05 01:00,Olympique Lyonnais vs Auxerre,away,Auxerre,Lasso Coulibaly,?,轮换(0%),0.003,0.003,3,1,1,1
09-05 01:00,Olympique Lyonnais vs Auxerre,away,Auxerre,Marvin Senaya,后卫,轮换(0%),0.0,0.014,3,1,,1
09-05 01:00,Olympique Lyonnais vs Auxerre,away,Auxerre,Sekou Fofana,后卫,轮换(0%),0.0,0.014,3,1,,1
09-05 01:00,Olympique Lyonnais vs Auxerre,away,Auxerre,Telli Siwe,后卫,轮换(0%),0.0,0.014,3,1,,1
09-05 01:00,Fredrikstad FK vs Bodø/Glimt,home,Fredrikstad FK,Kennedy Ikechukwu Okpaleke,后卫,轮换(0%),0.0,0.014,1,2,,1
09-05 01:00,Fredrikstad FK vs Bodø/Glimt,home,Fredrikstad FK,Sondre Sørløkk,中场,主力(首发100%),0.02,0.02,1,2,1,1
